Date,Active case ,CFR,Confirmed cases New,Confirmed cases Total,Death New,Death Total,Recoveries Active,Recoveries New,Recoveries Total,RR,RT-PCR tests New,RT-PCR tests Total,TPR
1/23/2020,1,0,1,1,0,0,1,0,0,0,,,
1/24/2020,1,0,0,1,0,0,1,0,0,0,,,
1/25/2020,1,0,0,1,0,0,1,0,0,0,,,
1/26/2020,1,0,0,1,0,0,1,0,0,0,,,
1/27/2020,1,0,0,1,0,0,1,0,0,0,,,
1/28/2020,1,0,0,1,0,0,1,0,0,0,,3,0.3333
1/29/2020,0,0,0,1,0,0,0,1,1,1,1,4,0.25
1/30/2020,0,0,0,1,0,0,0,0,1,1,1,5,0.2
1/31/2020,0,0,0,1,0,0,0,0,1,1,0,5,0.2
2/1/2020,0,0,0,1,0,0,0,0,1,1,,,
2/2/2020,0,0,0,1,0,0,0,0,1,1,,5,0.2
2/3/2020,0,0,0,1,0,0,0,0,1,1,,,
2/4/2020,0,0,0,1,0,0,0,0,1,1,,14,0.0714
2/5/2020,0,0,0,1,0,0,0,0,1,1,0,14,0.0714
2/6/2020,0,0,0,1,0,0,0,0,1,1,4,18,0.0556
2/7/2020,0,0,0,1,0,0,0,0,1,1,0,18,0.0556
2/8/2020,0,0,0,1,0,0,0,0,1,1,,,
2/9/2020,0,0,0,1,0,0,0,0,1,1,,18,0.0556
2/10/2020,0,0,0,1,0,0,0,0,1,1,0,18,0.0556
2/11/2020,0,0,0,1,0,0,0,0,1,1,0,18,0.0556
2/12/2020,0,0,0,1,0,0,0,0,1,1,2,20,0.05
2/13/2020,0,0,0,1,0,0,0,0,1,1,4,24,0.0417
2/14/2020,0,0,0,1,0,0,0,0,1,1,0,24,0.0417
2/15/2020,0,0,0,1,0,0,0,0,1,1,,,
2/16/2020,0,0,0,1,0,0,0,0,1,1,,34,0.0294
2/17/2020,0,0,0,1,0,0,0,0,1,1,0,34,0.0294
2/18/2020,0,0,0,1,0,0,0,0,1,1,1,35,0.0286
2/19/2020,0,0,0,1,0,0,0,0,1,1,175,210,0.0048
2/20/2020,0,0,0,1,0,0,0,0,1,1,2,212,0.0047
2/21/2020,0,0,0,1,0,0,0,0,1,1,,,
2/22/2020,0,0,0,1,0,0,0,0,1,1,,,
2/23/2020,0,0,0,1,0,0,0,0,1,1,,216,0.0046
2/24/2020,0,0,0,1,0,0,0,0,1,1,1,217,0.0046
2/25/2020,0,0,0,1,0,0,0,0,1,1,0,217,0.0046
2/26/2020,0,0,0,1,0,0,0,0,1,1,4,221,0.0045
2/27/2020,0,0,0,1,0,0,0,0,1,1,0,221,0.0045
2/28/2020,0,0,0,1,0,0,0,0,1,1,3,224,0.0045
2/29/2020,0,0,0,1,0,0,0,0,1,1,,,
3/1/2020,0,0,0,1,0,0,0,0,1,1,,243,0.0041
3/2/2020,0,0,0,1,0,0,0,0,1,1,182,425,0.0024
3/3/2020,0,0,0,1,0,0,0,0,1,1,8,433,0.0023
3/4/2020,0,0,0,1,0,0,0,0,1,1,0,433,0.0023
3/5/2020,0,0,0,1,0,0,0,0,1,1,,,
3/6/2020,0,0,0,1,0,0,0,0,1,1,,437,0.0023
3/7/2020,0,0,0,1,0,0,0,0,1,1,,,
3/8/2020,0,0,0,1,0,0,0,0,1,1,,,
3/9/2020,0,0,0,1,0,0,0,0,1,1,,,
3/10/2020,0,0,0,1,0,0,0,0,1,1,,445,0.0022
3/11/2020,0,0,0,1,0,0,0,0,1,1,2,447,0.0022
3/12/2020,0,0,0,1,0,0,0,0,1,1,3,450,0.0022
3/13/2020,0,0,0,1,0,0,0,0,1,1,6,456,0.0022
3/14/2020,0,0,0,1,0,0,0,0,1,1,,,
3/15/2020,0,0,0,1,0,0,0,0,1,1,,467,0.0021
3/16/2020,0,0,0,1,0,0,0,0,1,1,11,478,0.0021
3/17/2020,0,0,0,1,0,0,0,0,1,1,18,496,0.002
3/18/2020,0,0,0,1,0,0,0,0,1,1,16,512,0.002
3/19/2020,0,0,0,1,0,0,0,0,1,1,17,529,0.0019
3/20/2020,0,0,0,1,0,0,0,0,1,1,17,546,0.0018
3/21/2020,0,0,0,1,0,0,0,0,1,1,,,
3/22/2020,0,0,0,1,0,0,0,0,1,1,,572,0.0017
3/23/2020,1,0,1,2,0,0,1,0,1,0.5,38,610,0.0033
3/24/2020,1,0,0,2,0,0,1,0,1,0.5,0,610,0.0033
3/25/2020,2,0,1,3,0,0,2,0,1,0.3333,77,687,0.0044
3/26/2020,2,0,0,3,0,0,2,0,1,0.3333,71,758,0.004
