Adm0 En,Adm0 Pcode,Adm1 Pcode,Date,Dist Alt1E,Dist Alt2E,Dist Pcode,Dist Ref,District,Province,Valid On,Valid To,Geometry,Shape Area,Shape Leng
Nepal,NP,NP07,11/15/2017,,,NP0769,,Achham,7,4/30/2019,,MultiPolygon,0.157628449,2.669840793
Nepal,NP,NP05,11/15/2017,,,NP0550,,Arghakhanchi,5,4/30/2019,,MultiPolygon,0.113604358,2.379392223
Nepal,NP,NP04,11/15/2017,,,NP0443,,Baglung,4,4/30/2019,,MultiPolygon,0.168997078,2.885913991
Nepal,NP,NP07,11/15/2017,,,NP0774,,Baitadi,7,4/30/2019,,MultiPolygon,0.138908100,2.499411893
Nepal,NP,NP07,11/15/2017,,,NP0767,,Bajhang,7,4/30/2019,,MultiPolygon,0.322517326,3.157277831
Nepal,NP,NP07,11/15/2017,,,NP0768,,Bajura,7,4/30/2019,,MultiPolygon,0.213950477,2.978020641
Nepal,NP,NP05,11/15/2017,,,NP0557,,Banke,5,4/30/2019,,MultiPolygon,0.172696477,2.284862964
Nepal,NP,NP02,11/15/2017,,,NP0233,,Bara,2,4/30/2019,,MultiPolygon,0.115842287,2.321351753
Nepal,NP,NP05,11/15/2017,,,NP0558,,Bardiya,5,4/30/2019,,MultiPolygon,0.184235494,2.620599637
Nepal,NP,NP03,11/15/2017,,,NP0326,,Bhaktapur,3,4/30/2019,,MultiPolygon,0.011260236,0.575156744
Nepal,NP,NP01,11/15/2017,,,NP0110,,Bhojpur,1,4/30/2019,,MultiPolygon,0.138786746,2.153507761
Nepal,NP,NP03,11/15/2017,,,NP0335,,Chitawan,3,4/30/2019,,MultiPolygon,0.204778946,3.372199085
Nepal,NP,NP07,11/15/2017,,,NP0773,,Dadeldhura,7,4/30/2019,,MultiPolygon,0.139414062,2.428529726
Nepal,NP,NP06,11/15/2017,,,NP0661,,Dailekh,6,4/30/2019,,MultiPolygon,0.137288535,1.942797852
Nepal,NP,NP05,11/15/2017,,,NP0556,,Dang,5,4/30/2019,,MultiPolygon,0.275397405,3.066918294
Nepal,NP,NP07,11/15/2017,,,NP0775,,Darchula,7,4/30/2019,,MultiPolygon,0.218552597,2.766581134
Nepal,NP,NP03,11/15/2017,,,NP0330,,Dhading,3,4/30/2019,,MultiPolygon,0.174888528,3.452651071
Nepal,NP,NP01,11/15/2017,,,NP0107,,Dhankuta,1,4/30/2019,,MultiPolygon,0.081728665,1.638611972
Nepal,NP,NP02,11/15/2017,,,NP0217,,Dhanusha,2,4/30/2019,,MultiPolygon,0.107948978,2.341674565
Nepal,NP,NP03,11/15/2017,,,NP0322,,Dolakha,3,4/30/2019,,MultiPolygon,0.196596053,2.870308835
Nepal,NP,NP06,11/15/2017,,,NP0662,,Dolpa,6,4/30/2019,,MultiPolygon,0.737003830,4.857340509
Nepal,NP,NP07,11/15/2017,,,NP0770,,Doti,7,4/30/2019,,MultiPolygon,0.190207828,2.741267501
Nepal,NP,NP04,11/15/2017,,,NP0436,,Gorkha,4,4/30/2019,,MultiPolygon,0.335544526,4.097603453
Nepal,NP,NP05,11/15/2017,,,NP0551,,Gulmi,5,4/30/2019,,MultiPolygon,0.101744748,2.063068711
Nepal,NP,NP06,11/15/2017,,,NP0666,,Humla,6,4/30/2019,,MultiPolygon,0.561967821,5.165044077
Nepal,NP,NP01,11/15/2017,,,NP0103,,Ilam,1,4/30/2019,,MultiPolygon,0.153113511,2.450479620
Nepal,NP,NP06,11/15/2017,,,NP0660,,Jajarkot,6,4/30/2019,,MultiPolygon,0.205537704,2.636155512
Nepal,NP,NP01,11/15/2017,,,NP0104,,Jhapa,1,4/30/2019,,MultiPolygon,0.145340047,2.856542257
Nepal,NP,NP06,11/15/2017,,,NP0663,,Jumla,6,4/30/2019,,MultiPolygon,0.237136284,2.819524837
Nepal,NP,NP03,11/15/2017,,,NP0324,,Kabhrepalanchok,3,4/30/2019,,MultiPolygon,0.127364255,2.152101215
Nepal,NP,NP07,11/15/2017,,,NP0771,,Kailali,7,4/30/2019,,MultiPolygon,0.303550638,3.393060846
Nepal,NP,NP06,11/15/2017,,,NP0664,,Kalikot,6,4/30/2019,,MultiPolygon,0.152146558,2.270523793
Nepal,NP,NP07,11/15/2017,,,NP0772,,Kanchanpur,7,4/30/2019,,MultiPolygon,0.149625045,2.248145075
Nepal,NP,NP05,11/15/2017,,,NP0549,,Kapilbastu,5,4/30/2019,,MultiPolygon,0.150997652,2.23106292
Nepal,NP,NP04,11/15/2017,,,NP0439,,Kaski,4,4/30/2019,,MultiPolygon,0.191925881,2.344133580
Nepal,NP,NP03,11/15/2017,,,NP0327,,Kathmandu,3,4/30/2019,,MultiPolygon,0.037850942,1.359645989
Nepal,NP,NP01,11/15/2017,,,NP0112,,Khotang,1,4/30/2019,,MultiPolygon,0.144745570,2.387907718
Nepal,NP,NP03,11/15/2017,,,NP0325,,Lalitpur,3,4/30/2019,,MultiPolygon,0.036254744,1.159587012
Nepal,NP,NP04,11/15/2017,,,NP0437,,Lamjung,4,4/30/2019,,MultiPolygon,0.152971212,1.942555845
Nepal,NP,NP02,11/15/2017,,,NP0218,,Mahottari,2,4/30/2019,,MultiPolygon,0.090921115,1.821264059
Nepal,NP,NP03,11/15/2017,,,NP0331,,Makawanpur,3,4/30/2019,,MultiPolygon,0.223146208,3.186770983
Nepal,NP,NP04,11/15/2017,,,NP0438,,Manang,4,4/30/2019,,MultiPolygon,0.214305722,2.429972005
Nepal,NP,NP01,11/15/2017,,,NP0105,,Morang,1,4/30/2019,,MultiPolygon,0.165190428,2.158625348
Nepal,NP,NP06,11/15/2017,,,NP0665,,Mugu,6,4/30/2019,,MultiPolygon,0.301222952,4.026901700
Nepal,NP,NP04,11/15/2017,,,NP0445,,Mustang,4,4/30/2019,,MultiPolygon,0.330038975,3.205791604
Nepal,NP,NP04,11/15/2017,,,NP0444,,Myagdi,4,4/30/2019,,MultiPolygon,0.210751007,2.956445600
Nepal,NP,NP04,11/15/2017,,,NP0447,,Nawalparasi East,4,4/30/2019,,MultiPolygon,0.130492168,2.753841130
Nepal,NP,NP05,11/15/2017,,,NP0547,,Nawalparasi West,5,4/30/2019,,MultiPolygon,0.066358801,1.501963664
Nepal,NP,NP03,11/15/2017,,,NP0328,,Nuwakot,3,4/30/2019,,MultiPolygon,0.109383252,1.997579558
Nepal,NP,NP01,11/15/2017,,,NP0113,,Okhaldhunga,1,4/30/2019,,MultiPolygon,0.098149607,1.642184474
Nepal,NP,NP05,11/15/2017,,,NP0546,,Palpa,5,4/30/2019,,MultiPolygon,0.133945013,2.622982389
Nepal,NP,NP01,11/15/2017,,,NP0102,,Panchthar,1,4/30/2019,,MultiPolygon,0.113590799,2.355790527
Nepal,NP,NP04,11/15/2017,,,NP0442,,Parbat,4,4/30/2019,,MultiPolygon,0.049798516,1.561083182
Nepal,NP,NP02,11/15/2017,,,NP0234,,Parsa,2,4/30/2019,,MultiPolygon,0.128192192,2.292194279
Nepal,NP,NP05,11/15/2017,,,NP0555,,Pyuthan,5,4/30/2019,,MultiPolygon,0.121322331,2.291137547
Nepal,NP,NP03,11/15/2017,,,NP0321,,Ramechhap,3,4/30/2019,,MultiPolygon,0.142891260,2.825116656
Nepal,NP,NP03,11/15/2017,,,NP0329,,Rasuwa,3,4/30/2019,,MultiPolygon,0.137945584,2.448489113
Nepal,NP,NP02,11/15/2017,,,NP0232,,Rautahat,2,4/30/2019,,MultiPolygon,0.094424720,1.884687983
Nepal,NP,NP05,11/15/2017,,,NP0554,,Rolpa,5,4/30/2019,,MultiPolygon,0.173515207,2.274195697
Nepal,NP,NP05,11/15/2017,,,NP0552,,Rukum East,5,4/30/2019,,MultiPolygon,0.155305114,2.487103974
Nepal,NP,NP06,11/15/2017,,,NP0652,,Rukum West,6,4/30/2019,,MultiPolygon,0.112073137,2.191219950
Nepal,NP,NP05,11/15/2017,,,NP0548,,Rupandehi,5,4/30/2019,,MultiPolygon,0.119257980,2.212857815
Nepal,NP,NP06,11/15/2017,,,NP0653,,Salyan,6,4/30/2019,,MultiPolygon,0.178319407,2.799351268
Nepal,NP,NP01,11/15/2017,,,NP0109,,Sankhuwasabha,1,4/30/2019,,MultiPolygon,0.317176506,3.540370358
Nepal,NP,NP02,11/15/2017,,,NP0215,,Saptari,2,4/30/2019,,MultiPolygon,0.116129372,2.153621268
Nepal,NP,NP02,11/15/2017,,,NP0219,,Sarlahi,2,4/30/2019,,MultiPolygon,0.114892191,2.005020951
Nepal,NP,NP03,11/15/2017,,,NP0320,,Sindhuli,3,4/30/2019,,MultiPolygon,0.226333132,3.399550225
Nepal,NP,NP03,11/15/2017,,,NP0323,,Sindhupalchok,3,4/30/2019,,MultiPolygon,0.228383562,2.562983000
Nepal,NP,NP02,11/15/2017,,,NP0216,,Siraha,2,4/30/2019,,MultiPolygon,0.103387541,1.841485143
Nepal,NP,NP01,11/15/2017,,,NP0111,,Solukhumbu,1,4/30/2019,,MultiPolygon,0.306973605,2.940150608
Nepal,NP,NP01,11/15/2017,,,NP0106,,Sunsari,1,4/30/2019,,MultiPolygon,0.108072074,2.005209642
Nepal,NP,NP06,11/15/2017,,,NP0659,,Surkhet,6,4/30/2019,,MultiPolygon,0.229432280,3.611346278
Nepal,NP,NP04,11/15/2017,,,NP0441,,Syangja,4,4/30/2019,,MultiPolygon,0.095236603,2.306762021
Nepal,NP,NP04,11/15/2017,,,NP0440,,Tanahu,4,4/30/2019,,MultiPolygon,0.144201928,2.753911993
Nepal,NP,NP01,11/15/2017,,,NP0101,,Taplejung,1,4/30/2019,,MultiPolygon,0.332003509,2.879519897
Nepal,NP,NP01,11/15/2017,,,NP0108,,Terhathum,1,4/30/2019,,MultiPolygon,0.061061599,1.184713365
Nepal,NP,NP01,11/15/2017,,,NP0114,,Udayapur,1,4/30/2019,,MultiPolygon,0.208709294,3.716080034
